2022-04-01 17:28:38.526 [restartedMain] INFO  com.netdisk.DriveSpringbootApplication - Starting DriveSpringbootApplication using Java 11.0.14.1 on STARdeAir.lan with PID 31525 (/Users/star_wyx/coding/drive_springboot/target/classes started by star_wyx in /Users/star_wyx/coding/drive_springboot)
2022-04-01 17:28:38.528 [restartedMain] INFO  com.netdisk.DriveSpringbootApplication - No active profile set, falling back to 1 default profile: "default"
2022-04-01 17:28:38.547 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-04-01 17:28:38.547 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-04-01 17:28:38.929 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9090 (http)
2022-04-01 17:28:38.932 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9090"]
2022-04-01 17:28:38.933 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-04-01 17:28:38.933 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.60]
2022-04-01 17:28:38.951 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-04-01 17:28:38.951 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 403 ms
2022-04-01 17:28:39.188 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2022-04-01 17:28:39.198 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9090"]
2022-04-01 17:28:39.213 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9090 (http) with context path ''
2022-04-01 17:28:39.222 [restartedMain] INFO  com.netdisk.DriveSpringbootApplication - Started DriveSpringbootApplication in 0.919 seconds (JVM running for 1.222)
2022-04-01 17:28:53.086 [http-nio-9090-exec-2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-04-01 17:28:53.086 [http-nio-9090-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-04-01 17:28:53.087 [http-nio-9090-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2022-04-01 17:28:53.129 [http-nio-9090-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2022-04-01 17:28:53.256 [http-nio-9090-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2022-04-01 17:35:54.039 [Thread-5] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2022-04-01 17:35:54.052 [Thread-5] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2022-04-01 17:35:54.112 [restartedMain] INFO  com.netdisk.DriveSpringbootApplication - Starting DriveSpringbootApplication using Java 11.0.14.1 on STARdeAir.lan with PID 31525 (/Users/star_wyx/coding/drive_springboot/target/classes started by star_wyx in /Users/star_wyx/coding/drive_springboot)
2022-04-01 17:35:54.112 [restartedMain] INFO  com.netdisk.DriveSpringbootApplication - No active profile set, falling back to 1 default profile: "default"
2022-04-01 17:35:54.211 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9090 (http)
2022-04-01 17:35:54.212 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9090"]
2022-04-01 17:35:54.212 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-04-01 17:35:54.212 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.60]
2022-04-01 17:35:54.216 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-04-01 17:35:54.216 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 103 ms
2022-04-01 17:35:54.285 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2022-04-01 17:35:54.290 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9090"]
2022-04-01 17:35:54.291 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9090 (http) with context path ''
2022-04-01 17:35:54.293 [restartedMain] INFO  com.netdisk.DriveSpringbootApplication - Started DriveSpringbootApplication in 0.206 seconds (JVM running for 436.306)
2022-04-01 17:35:54.293 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2022-04-01 17:35:59.044 [http-nio-9090-exec-2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-04-01 17:35:59.045 [http-nio-9090-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-04-01 17:35:59.047 [http-nio-9090-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2022-04-01 17:35:59.053 [http-nio-9090-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Starting...
2022-04-01 17:35:59.081 [http-nio-9090-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Start completed.
2022-04-01 17:38:08.373 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Shutdown initiated...
2022-04-01 17:38:08.378 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Shutdown completed.
2022-04-01 17:38:10.001 [restartedMain] INFO  com.netdisk.DriveSpringbootApplication - Starting DriveSpringbootApplication using Java 11.0.14.1 on STARdeAir.lan with PID 31679 (/Users/star_wyx/coding/drive_springboot/target/classes started by star_wyx in /Users/star_wyx/coding/drive_springboot)
2022-04-01 17:38:10.002 [restartedMain] INFO  com.netdisk.DriveSpringbootApplication - No active profile set, falling back to 1 default profile: "default"
2022-04-01 17:38:10.020 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-04-01 17:38:10.020 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-04-01 17:38:10.367 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9090 (http)
2022-04-01 17:38:10.371 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9090"]
2022-04-01 17:38:10.371 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-04-01 17:38:10.371 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.60]
2022-04-01 17:38:10.391 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-04-01 17:38:10.391 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 370 ms
2022-04-01 17:38:10.620 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2022-04-01 17:38:10.628 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9090"]
2022-04-01 17:38:10.641 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9090 (http) with context path ''
2022-04-01 17:38:10.648 [restartedMain] INFO  com.netdisk.DriveSpringbootApplication - Started DriveSpringbootApplication in 0.836 seconds (JVM running for 1.135)
2022-04-01 17:38:15.238 [http-nio-9090-exec-2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-04-01 17:38:15.238 [http-nio-9090-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-04-01 17:38:15.240 [http-nio-9090-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2022-04-01 17:38:15.279 [http-nio-9090-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2022-04-01 17:38:15.400 [http-nio-9090-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2022-04-01 17:44:54.882 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2022-04-01 17:44:54.897 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2022-04-01 17:44:58.065 [restartedMain] INFO  com.netdisk.DriveSpringbootApplication - Starting DriveSpringbootApplication using Java 11.0.14.1 on STARdeAir.lan with PID 31775 (/Users/star_wyx/coding/drive_springboot/target/classes started by star_wyx in /Users/star_wyx/coding/drive_springboot)
2022-04-01 17:44:58.067 [restartedMain] INFO  com.netdisk.DriveSpringbootApplication - No active profile set, falling back to 1 default profile: "default"
2022-04-01 17:44:58.086 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-04-01 17:44:58.087 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-04-01 17:44:58.436 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9090 (http)
2022-04-01 17:44:58.440 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9090"]
2022-04-01 17:44:58.440 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-04-01 17:44:58.440 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.60]
2022-04-01 17:44:58.459 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-04-01 17:44:58.459 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 372 ms
2022-04-01 17:44:58.565 [restartedMain] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2022-04-01 17:44:58.566 [restartedMain] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2022-04-01 17:44:58.576 [restartedMain] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2022-04-01 17:45:23.503 [restartedMain] INFO  com.netdisk.DriveSpringbootApplication - Starting DriveSpringbootApplication using Java 11.0.14.1 on STARdeAir.lan with PID 31787 (/Users/star_wyx/coding/drive_springboot/target/classes started by star_wyx in /Users/star_wyx/coding/drive_springboot)
2022-04-01 17:45:23.504 [restartedMain] INFO  com.netdisk.DriveSpringbootApplication - No active profile set, falling back to 1 default profile: "default"
2022-04-01 17:45:23.521 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-04-01 17:45:23.521 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-04-01 17:45:23.880 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9090 (http)
2022-04-01 17:45:23.883 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9090"]
2022-04-01 17:45:23.883 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-04-01 17:45:23.884 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.60]
2022-04-01 17:45:23.902 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-04-01 17:45:23.902 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 381 ms
2022-04-01 17:45:24.010 [restartedMain] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2022-04-01 17:45:24.011 [restartedMain] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2022-04-01 17:45:24.020 [restartedMain] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2022-04-01 17:46:23.099 [restartedMain] INFO  com.netdisk.DriveSpringbootApplication - Starting DriveSpringbootApplication using Java 11.0.14.1 on STARdeAir.lan with PID 31801 (/Users/star_wyx/coding/drive_springboot/target/classes started by star_wyx in /Users/star_wyx/coding/drive_springboot)
2022-04-01 17:46:23.101 [restartedMain] INFO  com.netdisk.DriveSpringbootApplication - No active profile set, falling back to 1 default profile: "default"
2022-04-01 17:46:23.121 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-04-01 17:46:23.121 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-04-01 17:46:23.477 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9090 (http)
2022-04-01 17:46:23.480 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9090"]
2022-04-01 17:46:23.481 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-04-01 17:46:23.481 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.60]
2022-04-01 17:46:23.500 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-04-01 17:46:23.500 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 379 ms
2022-04-01 17:46:23.753 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2022-04-01 17:46:23.767 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9090"]
2022-04-01 17:46:23.779 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9090 (http) with context path ''
2022-04-01 17:46:23.785 [restartedMain] INFO  com.netdisk.DriveSpringbootApplication - Started DriveSpringbootApplication in 0.918 seconds (JVM running for 1.209)
2022-04-01 17:48:12.884 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
